value,timestamp
64.24,2020-03-28T20:24:52.000Z
66.13,2020-03-28T20:29:52.000Z
68.09,2020-03-28T20:34:52.000Z
68.85,2020-03-28T20:39:52.000Z
69.88,2020-03-28T20:44:52.000Z
70.84,2020-03-28T20:49:52.000Z
71.88,2020-03-28T20:54:53.000Z
72.64,2020-03-28T20:59:53.000Z
72.33,2020-03-28T21:04:53.000Z
74.40,2020-03-28T21:09:53.000Z
75.36,2020-03-28T21:14:53.000Z
74.40,2020-03-28T21:19:53.000Z
73.67,2020-03-28T21:24:53.000Z
74.29,2020-03-28T21:29:53.000Z
73.15,2020-03-28T21:34:53.000Z
73.60,2020-03-28T21:39:53.000Z
74.08,2020-03-28T21:44:53.000Z
72.53,2020-03-28T21:49:53.000Z
73.84,2020-03-28T21:54:53.000Z
73.63,2020-03-28T21:59:53.000Z
75.12,2020-03-28T22:04:53.000Z
75.02,2020-03-28T22:09:53.000Z
76.26,2020-03-28T22:14:53.000Z
75.60,2020-03-28T22:19:53.000Z
73.60,2020-03-28T22:24:54.000Z
73.19,2020-03-28T22:29:54.000Z
74.32,2020-03-28T22:34:54.000Z
75.43,2020-03-28T22:39:54.000Z
74.53,2020-03-28T22:44:54.000Z
74.43,2020-03-28T22:49:54.000Z
73.60,2020-03-28T22:54:54.000Z
71.73,2020-03-28T22:59:54.000Z
70.50,2020-03-28T23:04:54.000Z
71.33,2020-03-28T23:09:54.000Z
69.67,2020-03-28T23:14:54.000Z
71.22,2020-03-28T23:19:54.000Z
70.70,2020-03-28T23:24:54.000Z
71.04,2020-03-28T23:29:54.000Z
69.98,2020-03-28T23:34:54.000Z
70.42,2020-03-28T23:39:54.000Z
71.15,2020-03-28T23:44:54.000Z
72.50,2020-03-28T23:49:54.000Z
71.53,2020-03-28T23:54:55.000Z
71.84,2020-03-28T23:59:55.000Z
71.53,2020-03-29T00:04:55.000Z
71.67,2020-03-29T00:09:55.000Z
71.98,2020-03-29T00:14:55.000Z
71.67,2020-03-29T00:19:55.000Z
71.98,2020-03-29T00:24:55.000Z
71.56,2020-03-29T00:29:55.000Z
71.77,2020-03-29T00:34:55.000Z
72.19,2020-03-29T00:39:55.000Z
72.60,2020-03-29T00:44:55.000Z
73.11,2020-03-29T00:49:55.000Z
73.32,2020-03-29T00:54:55.000Z
72.63,2020-03-29T00:59:55.000Z
73.36,2020-03-29T01:04:55.000Z
72.74,2020-03-29T01:09:55.000Z
73.05,2020-03-29T01:14:56.000Z
73.36,2020-03-29T01:19:56.000Z
73.05,2020-03-29T01:24:56.000Z
74.08,2020-03-29T01:29:56.000Z
73.67,2020-03-29T01:34:56.000Z
74.08,2020-03-29T01:39:56.000Z
74.50,2020-03-29T01:44:56.000Z
74.08,2020-03-29T01:49:56.000Z
74.60,2020-03-29T01:54:57.000Z
74.19,2020-03-29T01:59:57.000Z
73.98,2020-03-29T03:04:57.000Z
74.11,2020-03-29T02:09:57.000Z
74.43,2020-03-29T03:14:57.000Z
74.53,2020-03-29T02:19:57.000Z
74.43,2020-03-29T03:24:57.000Z
74.74,2020-03-29T02:29:57.000Z
74.95,2020-03-29T03:34:57.000Z
74.84,2020-03-29T02:39:57.000Z
75.36,2020-03-29T03:44:57.000Z
74.95,2020-03-29T02:49:57.000Z
75.36,2020-03-29T03:54:57.000Z
75.78,2020-03-29T02:59:57.000Z
75.67,2020-03-29T03:04:57.000Z
75.46,2020-03-29T03:09:57.000Z
75.67,2020-03-29T03:14:58.000Z
75.40,2020-03-29T03:19:58.000Z
75.81,2020-03-29T03:24:58.000Z
75.19,2020-03-29T03:29:58.000Z
75.50,2020-03-29T03:34:58.000Z
75.40,2020-03-29T03:39:58.000Z
74.77,2020-03-29T03:44:58.000Z
74.98,2020-03-29T03:49:58.000Z
75.40,2020-03-29T03:54:58.000Z
75.09,2020-03-29T03:59:58.000Z
74.26,2020-03-29T04:04:58.000Z
74.46,2020-03-29T04:09:58.000Z
74.67,2020-03-29T04:14:58.000Z
74.05,2020-03-29T04:19:58.000Z
74.67,2020-03-29T04:24:58.000Z
74.05,2020-03-29T04:29:58.000Z
74.77,2020-03-29T04:34:58.000Z
75.19,2020-03-29T04:39:59.000Z
74.26,2020-03-29T04:44:59.000Z
74.15,2020-03-29T04:49:59.000Z
73.43,2020-03-29T04:54:59.000Z
72.49,2020-03-29T04:59:59.000Z
72.91,2020-03-29T05:04:59.000Z
72.70,2020-03-29T05:09:59.000Z
68.13,2020-03-29T05:14:59.000Z
66.17,2020-03-29T05:19:59.000Z
63.68,2020-03-29T05:24:59.000Z
64.61,2020-03-29T05:29:59.000Z
65.03,2020-03-29T05:34:59.000Z
65.03,2020-03-29T05:39:59.000Z
67.34,2020-03-29T05:44:59.000Z
67.55,2020-03-29T05:49:59.000Z
64.33,2020-03-29T05:54:59.000Z
62.46,2020-03-29T06:00:00.000Z
62.77,2020-03-29T06:05:00.000Z
63.71,2020-03-29T06:10:00.000Z
64.98,2020-03-29T06:15:00.000Z
64.56,2020-03-29T06:20:00.000Z
65.50,2020-03-29T06:25:00.000Z
65.08,2020-03-29T06:30:00.000Z
67.16,2020-03-29T06:35:00.000Z
67.58,2020-03-29T06:40:00.000Z
66.33,2020-03-29T06:45:01.000Z
67.37,2020-03-29T06:50:01.000Z
66.96,2020-03-29T06:55:01.000Z
68.41,2020-03-29T07:00:01.000Z
68.51,2020-03-29T07:05:01.000Z
68.62,2020-03-29T07:10:01.000Z
68.51,2020-03-29T07:15:01.000Z
67.79,2020-03-29T07:20:01.000Z
68.41,2020-03-29T07:25:01.000Z
69.55,2020-03-29T07:30:01.000Z
67.89,2020-03-29T07:35:01.000Z
69.76,2020-03-29T07:40:01.000Z
70.76,2020-03-29T07:45:01.000Z
69.83,2020-03-29T07:50:01.000Z
69.73,2020-03-29T07:55:01.000Z
69.83,2020-03-29T08:00:01.000Z
68.34,2020-03-29T08:05:02.000Z
67.41,2020-03-29T08:10:02.000Z
68.21,2020-03-29T08:15:02.000Z
67.86,2020-03-29T08:20:02.000Z
66.86,2020-03-29T08:25:02.000Z
66.03,2020-03-29T08:30:02.000Z
66.99,2020-03-29T08:35:02.000Z
66.03,2020-03-29T08:40:02.000Z
69.24,2020-03-29T08:45:02.000Z
67.45,2020-03-29T08:50:02.000Z
66.11,2020-03-29T08:55:02.000Z
67.45,2020-03-29T09:00:02.000Z
67.24,2020-03-29T09:05:02.000Z
67.38,2020-03-29T09:10:02.000Z
68.83,2020-03-29T09:15:02.000Z
68.00,2020-03-29T09:20:02.000Z
68.93,2020-03-29T09:25:03.000Z
67.24,2020-03-29T09:30:03.000Z
67.14,2020-03-29T09:35:03.000Z
65.80,2020-03-29T09:40:03.000Z
67.76,2020-03-29T09:45:03.000Z
70.11,2020-03-29T09:50:03.000Z
65.70,2020-03-29T09:55:03.000Z
64.67,2020-03-29T10:00:03.000Z
66.94,2020-03-29T10:05:03.000Z
67.98,2020-03-29T10:10:03.000Z
67.77,2020-03-29T10:15:03.000Z
68.12,2020-03-29T10:20:03.000Z
69.87,2020-03-29T10:25:03.000Z
70.11,2020-03-29T10:30:03.000Z
70.53,2020-03-29T10:35:03.000Z
70.84,2020-03-29T10:40:03.000Z
72.74,2020-03-29T10:45:04.000Z
71.73,2020-03-29T10:50:04.000Z
73.15,2020-03-29T10:55:04.000Z
73.25,2020-03-29T11:00:04.000Z
73.88,2020-03-29T11:05:04.000Z
74.81,2020-03-29T11:10:04.000Z
76.12,2020-03-29T11:15:04.000Z
76.64,2020-03-29T11:20:04.000Z
