sensorID,value,timestamp,longitude,latitude,hight
5d5d1209953683001a3f93f9,80.97,2020-08-27T05:42:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.77,2020-08-27T05:47:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.87,2020-08-27T05:52:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.87,2020-08-27T05:57:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.66,2020-08-27T06:02:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.87,2020-08-27T06:07:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.01,2020-08-27T06:12:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.21,2020-08-27T06:17:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.31,2020-08-27T06:22:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.31,2020-08-27T06:27:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.41,2020-08-27T06:32:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.72,2020-08-27T06:37:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.52,2020-08-27T06:42:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.62,2020-08-27T06:47:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,82.06,2020-08-27T06:52:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,82.51,2020-08-27T06:57:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,82.71,2020-08-27T07:02:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,82.92,2020-08-27T07:07:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,83.01,2020-08-27T07:12:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,83.26,2020-08-27T07:17:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,83.67,2020-08-27T07:22:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,83.87,2020-08-27T07:27:47.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,84.17,2020-08-27T07:32:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,84.48,2020-08-27T07:37:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,84.58,2020-08-27T07:42:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,84.34,2020-08-27T07:47:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,84.34,2020-08-27T07:52:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,84.23,2020-08-27T07:57:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,84.09,2020-08-27T08:02:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,83.59,2020-08-27T08:07:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,83.34,2020-08-27T08:12:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,83.31,2020-08-27T08:17:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,82.45,2020-08-27T08:22:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.71,2020-08-27T08:27:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,81.37,2020-08-27T08:32:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.96,2020-08-27T08:37:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.21,2020-08-27T08:42:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,79.91,2020-08-27T08:47:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,79.26,2020-08-27T08:52:48.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,78.96,2020-08-27T08:57:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,78.82,2020-08-27T09:02:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,77.13,2020-08-27T09:07:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,76.82,2020-08-27T09:12:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,76.72,2020-08-27T09:17:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,74.02,2020-08-27T09:22:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,73.72,2020-08-27T09:27:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,72.27,2020-08-27T09:32:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,71.67,2020-08-27T09:37:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,70.36,2020-08-27T09:42:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,68.65,2020-08-27T09:47:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,68.41,2020-08-27T09:52:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,67.91,2020-08-27T09:57:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,68.21,2020-08-27T10:02:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,68.44,2020-08-27T10:07:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,66.36,2020-08-27T10:12:49.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,64.36,2020-08-27T10:17:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.62,2020-08-27T10:22:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.25,2020-08-27T10:27:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,62.52,2020-08-27T10:32:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,63.53,2020-08-27T10:37:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,60.48,2020-08-27T10:42:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.31,2020-08-27T10:47:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,61.18,2020-08-27T10:52:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.95,2020-08-27T10:57:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,59.42,2020-08-27T11:02:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,58.29,2020-08-27T11:07:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,57.15,2020-08-27T11:12:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,56.26,2020-08-27T11:17:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,56.45,2020-08-27T11:22:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,56.43,2020-08-27T11:27:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,56.73,2020-08-27T11:32:50.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.70,2020-08-27T11:37:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.70,2020-08-27T11:42:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.57,2020-08-27T11:47:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,54.85,2020-08-27T11:52:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,53.74,2020-08-27T11:57:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,54.35,2020-08-27T12:02:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,54.17,2020-08-27T12:07:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.37,2020-08-27T12:12:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.20,2020-08-27T12:17:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.13,2020-08-27T12:22:51.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.32,2020-08-27T12:27:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,55.63,2020-08-27T12:32:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,54.90,2020-08-27T12:37:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,54.27,2020-08-27T12:42:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,54.47,2020-08-27T12:47:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,53.67,2020-08-27T12:52:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,53.34,2020-08-27T12:57:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,52.74,2020-08-27T13:02:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,52.84,2020-08-27T13:07:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,52.94,2020-08-27T13:12:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,53.14,2020-08-27T13:17:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,51.74,2020-08-27T13:22:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,52.44,2020-08-27T13:27:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,52.22,2020-08-27T13:32:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,52.22,2020-08-27T13:37:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,51.39,2020-08-27T13:42:52.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,50.92,2020-08-27T13:47:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,50.67,2020-08-27T13:52:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,50.02,2020-08-27T13:57:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,49.20,2020-08-27T14:02:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,46.96,2020-08-27T14:07:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,44.16,2020-08-27T14:12:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,41.77,2020-08-27T14:17:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,40.15,2020-08-27T14:22:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,39.83,2020-08-27T14:27:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,40.66,2020-08-27T14:32:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,40.55,2020-08-27T14:37:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,41.44,2020-08-27T14:42:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,42.17,2020-08-27T14:47:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,40.74,2020-08-27T14:52:53.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,38.35,2020-08-27T14:57:53.000Z,8.71,51.75,102.00
