value,createdAt
18.60,2019-09-05T15:08:08.000Z
18.60,2019-09-05T15:07:38.000Z
18.60,2019-09-05T15:07:08.000Z
18.62,2019-09-05T15:06:38.000Z
18.60,2019-09-05T15:06:08.000Z
18.62,2019-09-05T15:05:37.000Z
18.60,2019-09-05T15:05:07.000Z
18.60,2019-09-05T15:04:37.000Z
18.62,2019-09-05T15:04:07.000Z
18.60,2019-09-05T15:03:37.000Z
18.60,2019-09-05T15:03:07.000Z
18.62,2019-09-05T15:02:37.000Z
18.62,2019-09-05T15:02:07.000Z
18.60,2019-09-05T15:01:37.000Z
18.60,2019-09-05T15:01:06.000Z
18.60,2019-09-05T15:00:36.000Z
18.62,2019-09-05T15:00:06.000Z
18.60,2019-09-05T14:59:36.000Z
18.62,2019-09-05T14:59:06.000Z
18.62,2019-09-05T14:58:36.000Z
18.62,2019-09-05T14:58:06.000Z
18.60,2019-09-05T14:57:36.000Z
18.60,2019-09-05T14:57:06.000Z
18.62,2019-09-05T14:56:35.000Z
18.62,2019-09-05T14:56:05.000Z
18.62,2019-09-05T14:55:35.000Z
18.62,2019-09-05T14:55:05.000Z
18.60,2019-09-05T14:54:35.000Z
18.62,2019-09-05T14:54:05.000Z
18.62,2019-09-05T14:53:35.000Z
18.62,2019-09-05T14:53:05.000Z
18.62,2019-09-05T14:52:35.000Z
18.63,2019-09-05T14:52:04.000Z
18.63,2019-09-05T14:51:34.000Z
18.60,2019-09-05T14:51:04.000Z
18.62,2019-09-05T14:50:34.000Z
18.62,2019-09-05T14:50:04.000Z
18.62,2019-09-05T14:49:34.000Z
18.62,2019-09-05T14:49:04.000Z
18.63,2019-09-05T14:48:34.000Z
18.62,2019-09-05T14:48:04.000Z
18.62,2019-09-05T14:47:33.000Z
18.63,2019-09-05T14:47:03.000Z
18.62,2019-09-05T14:46:33.000Z
18.60,2019-09-05T14:46:03.000Z
18.62,2019-09-05T14:45:33.000Z
18.62,2019-09-05T14:45:03.000Z
18.62,2019-09-05T14:44:33.000Z
18.62,2019-09-05T14:44:03.000Z
18.62,2019-09-05T14:43:33.000Z
18.63,2019-09-05T14:43:02.000Z
18.62,2019-09-05T14:42:32.000Z
18.62,2019-09-05T14:42:02.000Z
18.63,2019-09-05T14:41:32.000Z
18.62,2019-09-05T14:41:02.000Z
18.62,2019-09-05T14:40:32.000Z
18.63,2019-09-05T14:40:02.000Z
18.62,2019-09-05T14:39:32.000Z
18.63,2019-09-05T14:39:02.000Z
18.63,2019-09-05T14:38:32.000Z
18.63,2019-09-05T14:38:01.000Z
18.62,2019-09-05T14:37:31.000Z
18.62,2019-09-05T14:37:01.000Z
18.62,2019-09-05T14:36:31.000Z
18.63,2019-09-05T14:36:01.000Z
18.63,2019-09-05T14:35:31.000Z
18.62,2019-09-05T14:35:00.000Z
18.63,2019-09-05T14:34:30.000Z
18.62,2019-09-05T14:34:00.000Z
18.62,2019-09-05T14:33:30.000Z
18.65,2019-09-05T14:33:00.000Z
18.63,2019-09-05T14:32:30.000Z
18.65,2019-09-05T14:32:00.000Z
18.62,2019-09-05T14:31:30.000Z
18.63,2019-09-05T14:30:59.000Z
18.63,2019-09-05T14:30:29.000Z
18.63,2019-09-05T14:29:59.000Z
18.65,2019-09-05T14:29:29.000Z
18.63,2019-09-05T14:28:59.000Z
18.63,2019-09-05T14:28:29.000Z
18.63,2019-09-05T14:27:59.000Z
18.62,2019-09-05T14:27:29.000Z
18.65,2019-09-05T14:26:59.000Z
18.65,2019-09-05T14:26:28.000Z
18.63,2019-09-05T14:25:58.000Z
18.65,2019-09-05T14:25:28.000Z
18.63,2019-09-05T14:24:58.000Z
18.63,2019-09-05T14:24:28.000Z
18.65,2019-09-05T14:23:58.000Z
18.63,2019-09-05T14:23:28.000Z
18.65,2019-09-05T14:22:58.000Z
18.65,2019-09-05T14:22:28.000Z
18.66,2019-09-05T14:21:58.000Z
18.66,2019-09-05T14:21:27.000Z
18.66,2019-09-05T14:20:57.000Z
18.65,2019-09-05T14:20:27.000Z
18.65,2019-09-05T14:19:57.000Z
18.65,2019-09-05T14:19:27.000Z
18.63,2019-09-05T14:18:57.000Z
18.66,2019-09-05T14:18:27.000Z
18.63,2019-09-05T14:17:57.000Z
18.65,2019-09-05T14:17:27.000Z
18.65,2019-09-05T14:16:56.000Z
18.65,2019-09-05T14:16:26.000Z
18.63,2019-09-05T14:15:56.000Z
18.65,2019-09-05T14:15:26.000Z
18.63,2019-09-05T14:14:56.000Z
18.65,2019-09-05T14:14:26.000Z
18.63,2019-09-05T14:13:56.000Z
18.63,2019-09-05T14:13:26.000Z
18.63,2019-09-05T14:12:56.000Z
18.63,2019-09-05T14:12:25.000Z
18.63,2019-09-05T14:11:55.000Z
18.63,2019-09-05T14:11:25.000Z
18.63,2019-09-05T14:10:55.000Z
18.65,2019-09-05T14:10:25.000Z
18.63,2019-09-05T14:09:55.000Z
